episode,initial_crossings,final_crossings,improvement,episode_reward,mean_loss,epsilon,total_steps
0,1466.0,1469.0,-3.0,-0.002046384720327421,0.0011000308326114656,0.99954,50
1,214.0,215.0,-1.0,-0.004672897196261681,0.00010716458409660845,0.9990802115999999,100
2,68.0,69.0,-1.0,-0.014705882352941166,0.00011114668457594234,0.9986206347026639,150
3,1251.0,1246.0,5.0,0.003996802557953637,0.00014789377673878333,0.9981612692107007,200
4,564.0,567.0,-3.0,-0.005319148936170213,0.00048526584498176817,0.9977021150268638,250
5,789.0,784.0,5.0,0.006337135614702154,0.0005510053670150228,0.9972431720539514,300
6,21.0,20.0,1.0,0.047619047619047616,0.00037541454265010543,0.9967844401948066,350
7,1076.0,1073.0,3.0,0.0027881040892193316,0.00037583873345283794,0.996325919352317,400
8,422.0,424.0,-2.0,-0.0047393364928909965,0.0006247594830347225,0.9958676094294149,450
9,287.0,289.0,-2.0,-0.006968641114982572,0.0005764982030086685,0.9954095103290773,500
